entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
Beijing,0.014,0.016,0.012,0.011,0.021,0.015,0.012,0.009,0.010,0.008,0.008,0.009,0.008,0.008,0.008,0.007,0.003340
Georgetown University,0.014,0.017,0.009,0.014,0.010,0.010,0.010,0.010,0.009,0.006,0.008,0.008,0.008,0.007,0.006,0.008,0.003225
Vocational Schools,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003197
Steve Jobs,0.004,0.006,0.004,0.003,0.006,0.007,0.034,0.009,0.031,0.009,0.009,0.009,0.013,0.006,0.007,0.005,0.003113
Capital gains tax,0.009,0.005,0.008,0.005,0.003,0.003,0.007,0.002,0.010,0.003,0.004,0.008,0.004,0.005,0.007,0.004,0.003040
Truman,0.009,0.017,0.010,0.009,0.012,0.009,0.006,0.005,0.006,0.006,0.005,0.006,0.005,0.009,0.007,0.006,0.003023
Thomas Edison,0.013,0.013,0.010,0.009,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.007,0.007,0.006,0.006,0.004,0.002988
DACA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.004,0.003,0.009,0.000,0.014,0.002979
Coast Guard,0.017,0.016,0.014,0.021,0.018,0.015,0.012,0.011,0.010,0.009,0.009,0.010,0.009,0.008,0.011,0.007,0.002937
Xi Jinping,,,,,,,,,,,,,,,,,0.002918
terrorism,0.035,0.026,0.028,0.021,0.018,0.019,0.019,0.014,0.010,0.010,0.011,0.021,0.018,0.019,0.015,0.013,0.002902
Youngstown,0.014,0.008,0.007,0.011,0.008,0.007,0.007,0.009,0.009,0.011,0.010,0.010,0.010,0.009,0.009,0.005,0.002889
California Wild Fires,0.013,0.006,0.008,0.010,0.017,0.006,0.005,0.005,0.003,0.005,0.004,0.003,0.004,0.004,0.005,0.004,0.002879
